fc9_warning,MODBUS TCP/IP,4x_Bit,511,,Неопределенный
fc9_work,MODBUS TCP/IP,4x_Bit,512,,Неопределенный
fc9_conn_alarm,MODBUS TCP/IP,4x_Bit,513,,Неопределенный
fc9_work_man,MODBUS TCP/IP,4x_Bit,514,,Неопределенный
fc9_starting,MODBUS TCP/IP,4x_Bit,515,,Неопределенный
fc9_stop_cmd,MODBUS TCP/IP,4x_Bit,600,,Неопределенный
fc9_alarm,MODBUS TCP/IP,4x_Bit,601,,Неопределенный
fc9_not_ready,MODBUS TCP/IP,4x_Bit,602,,Неопределенный
fc1_start_cmd,MODBUS TCP/IP,4x_Bit,603,,Неопределенный
fc2_start_cmd,MODBUS TCP/IP,4x_Bit,604,,Неопределенный
fc3_start_cmd,MODBUS TCP/IP,4x_Bit,605,,Неопределенный
fc4_start_cmd,MODBUS TCP/IP,4x_Bit,606,,Неопределенный
fc5_start_cmd,MODBUS TCP/IP,4x_Bit,607,,Неопределенный
fc6_start_cmd,MODBUS TCP/IP,4x_Bit,608,,Неопределенный
fc7_start_cmd,MODBUS TCP/IP,4x_Bit,609,,Неопределенный
fc8_start_cmd,MODBUS TCP/IP,4x_Bit,610,,Неопределенный
fc9_start_cmd,MODBUS TCP/IP,4x_Bit,611,,Неопределенный
CoolRun,MODBUS TCP/IP,4x_Bit,612,,Неопределенный
Defrosting,MODBUS TCP/IP,4x_Bit,613,,Неопределенный
FixSpeed,MODBUS TCP/IP,4x_Bit,614,,Неопределенный
CoolALARM,MODBUS TCP/IP,4x_Bit,615,,Неопределенный
doors_opened,MODBUS TCP/IP,4x_Bit,700,,Неопределенный
fc1_revers,MODBUS TCP/IP,4x_Bit,701,,Неопределенный
fc2_revers,MODBUS TCP/IP,4x_Bit,702,,Неопределенный
fc3_revers,MODBUS TCP/IP,4x_Bit,703,,Неопределенный
fc4_revers,MODBUS TCP/IP,4x_Bit,704,,Неопределенный
fc5_revers,MODBUS TCP/IP,4x_Bit,705,,Неопределенный
fc6_revers,MODBUS TCP/IP,4x_Bit,706,,Неопределенный
fc7_revers,MODBUS TCP/IP,4x_Bit,707,,Неопределенный
fc8_revers,MODBUS TCP/IP,4x_Bit,708,,Неопределенный
fc9_revers,MODBUS TCP/IP,4x_Bit,709,,Неопределенный
fc1_ref_auto,MODBUS TCP/IP,4x,19,,Неопределенный
fc1_ref_man,MODBUS TCP/IP,4x,20,,Неопределенный
fc2_ref_auto,MODBUS TCP/IP,4x,21,,Неопределенный
fc2_ref_man,MODBUS TCP/IP,4x,22,,Неопределенный
fc3_ref_auto,MODBUS TCP/IP,4x,23,,Неопределенный
fc3_ref_man,MODBUS TCP/IP,4x,24,,Неопределенный
fc4_ref_auto,MODBUS TCP/IP,4x,25,,Неопределенный
fc4_ref_man,MODBUS TCP/IP,4x,26,,Неопределенный
fc5_ref_auto,MODBUS TCP/IP,4x,27,,Неопределенный
fc5_ref_man,MODBUS TCP/IP,4x,28,,Неопределенный
fc6_ref_auto,MODBUS TCP/IP,4x,29,,Неопределенный
fc6_ref_man,MODBUS TCP/IP,4x,30,,Неопределенный
fc7_ref_auto,MODBUS TCP/IP,4x,31,,Неопределенный
fc7_ref_man,MODBUS TCP/IP,4x,32,,Неопределенный
fc8_ref_auto,MODBUS TCP/IP,4x,33,,Неопределенный
fc8_ref_man,MODBUS TCP/IP,4x,34,,Неопределенный
temp_gist,MODBUS TCP/IP,4x,37,,Неопределенный
temp_work,MODBUS TCP/IP,4x,36,,Неопределенный
temp,MODBUS TCP/IP,4x,63,,32-bit Float
safety,MODBUS TCP/IP,4x_Bit,710,,Неопределенный
door_opened_1,MODBUS TCP/IP,4x_Bit,711,,Неопределенный
door_opened_2,MODBUS TCP/IP,4x_Bit,712,,Неопределенный
doors_alarm,MODBUS TCP/IP,4x_Bit,713,,Неопределенный
cool_run_hand_start,MODBUS TCP/IP,4x_Bit,714,,Неопределенный
cool_run_hand_stop,MODBUS TCP/IP,4x_Bit,715,,Неопределенный
defrsoting_status,MODBUS TCP/IP,4x_Bit,800,,Неопределенный
temp_to_end_defrost,MODBUS TCP/IP,4x,35,,Неопределенный
CoolVentHandStart,MODBUS TCP/IP,4x_Bit,801,,Неопределенный
CoolVentHandStop,MODBUS TCP/IP,4x_Bit,802,,Неопределенный
VentOpen,MODBUS TCP/IP,4x_Bit,803,,Неопределенный
